SampleID,adiv_observed_otus,temperature_deg_c,ph,salinity_psu,oxygen_mg_per_l,phosphate_umol_per_l,ammonium_umol_per_l,nitrate_umol_per_l,sulfate_umol_per_l
X550.L1S267.s.1.sequence,126,,,,,,,,
X550.L1S268.s.1.sequence,141,,,,,,,,
X550.L1S269.s.1.sequence,112,,,,,,,,
X550.L1S27.s.1.sequence,75,,,,,,,,
X550.L1S270.s.1.sequence,139,,,,,,,,
X550.L1S271.s.1.sequence,136,,,,,,,,
X550.L1S272.s.1.sequence,138,,,,,,,,
X550.L1S273.s.1.sequence,125,,,,,,,,
X550.L1S274.s.1.sequence,65,,,,,,,,
X550.L1S275.s.1.sequence,118,,,,,,,,
X550.L1S276.s.1.sequence,125,,,,,,,,
X550.L1S277.s.1.sequence,127,,,,,,,,
X550.L1S278.s.1.sequence,152,,,,,,,,
X550.L1S279.s.1.sequence,146,,,,,,,,
X550.L1S28.s.1.sequence,77,,,,,,,,
X550.L1S280.s.1.sequence,142,,,,,,,,
X550.L1S281.s.1.sequence,112,,,,,,,,
X550.L1S282.s.1.sequence,173,,,,,,,,
X550.L1S283.s.1.sequence,134,,,,,,,,
X550.L1S284.s.1.sequence,152,,,,,,,,
X550.L1S285.s.1.sequence,122,,,,,,,,
X550.L1S286.s.1.sequence,147,,,,,,,,
X550.L1S287.s.1.sequence,108,,,,,,,,
X550.L1S289.s.1.sequence,125,,,,,,,,
X550.L1S29.s.1.sequence,72,,,,,,,,
X550.L1S290.s.1.sequence,125,,,,,,,,
X550.L1S291.s.1.sequence,127,,,,,,,,
X550.L1S292.s.1.sequence,113,,,,,,,,
X550.L1S293.s.1.sequence,154,,,,,,,,
X550.L1S294.s.1.sequence,128,,,,,,,,
X550.L1S295.s.1.sequence,127,,,,,,,,
X550.L1S296.s.1.sequence,143,,,,,,,,
X550.L1S297.s.1.sequence,133,,,,,,,,
X550.L1S298.s.1.sequence,112,,,,,,,,
X550.L1S299.s.1.sequence,106,,,,,,,,
X550.L1S3.s.1.sequence,46,,,,,,,,
X550.L1S30.s.1.sequence,80,,,,,,,,
X550.L1S300.s.1.sequence,113,,,,,,,,
X550.L1S301.s.1.sequence,131,,,,,,,,
X550.L1S302.s.1.sequence,128,,,,,,,,
X550.L1S303.s.1.sequence,116,,,,,,,,
X550.L1S304.s.1.sequence,121,,,,,,,,
X550.L1S305.s.1.sequence,107,,,,,,,,
X550.L1S306.s.1.sequence,118,,,,,,,,
X550.L1S307.s.1.sequence,101,,,,,,,,
X550.L1S308.s.1.sequence,95,,,,,,,,
X550.L1S309.s.1.sequence,175,,,,,,,,
X550.L1S31.s.1.sequence,79,,,,,,,,
X550.L1S310.s.1.sequence,135,,,,,,,,
X550.L1S311.s.1.sequence,127,,,,,,,,
X550.L1S312.s.1.sequence,126,,,,,,,,
X550.L1S313.s.1.sequence,181,,,,,,,,
X550.L1S314.s.1.sequence,164,,,,,,,,
X550.L1S315.s.1.sequence,102,,,,,,,,
X550.L1S316.s.1.sequence,120,,,,,,,,
X550.L1S317.s.1.sequence,180,,,,,,,,
X550.L1S318.s.1.sequence,120,,,,,,,,
X550.L1S319.s.1.sequence,113,,,,,,,,
X550.L1S32.s.1.sequence,68,,,,,,,,
X550.L1S320.s.1.sequence,99,,,,,,,,
X550.L1S321.s.1.sequence,167,,,,,,,,
X550.L1S322.s.1.sequence,113,,,,,,,,
X550.L1S323.s.1.sequence,113,,,,,,,,
X550.L1S324.s.1.sequence,100,,,,,,,,
X550.L1S325.s.1.sequence,173,,,,,,,,
X550.L1S326.s.1.sequence,127,,,,,,,,
X550.L1S327.s.1.sequence,122,,,,,,,,
X550.L1S328.s.1.sequence,112,,,,,,,,
X550.L1S329.s.1.sequence,162,,,,,,,,
X550.L1S33.s.1.sequence,70,,,,,,,,
X550.L1S330.s.1.sequence,113,,,,,,,,
X550.L1S331.s.1.sequence,123,,,,,,,,
X550.L1S332.s.1.sequence,130,,,,,,,,
X550.L1S333.s.1.sequence,124,,,,,,,,
X550.L1S334.s.1.sequence,69,,,,,,,,
X550.L1S335.s.1.sequence,113,,,,,,,,
X550.L1S336.s.1.sequence,119,,,,,,,,
X550.L1S337.s.1.sequence,130,,,,,,,,
X550.L1S338.s.1.sequence,137,,,,,,,,
X550.L1S339.s.1.sequence,137,,,,,,,,
X550.L1S34.s.1.sequence,88,,,,,,,,
X550.L1S340.s.1.sequence,112,,,,,,,,
X550.L1S341.s.1.sequence,125,,,,,,,,
X550.L1S342.s.1.sequence,127,,,,,,,,
X550.L1S343.s.1.sequence,124,,,,,,,,
X550.L1S344.s.1.sequence,139,,,,,,,,
X550.L1S345.s.1.sequence,132,,,,,,,,
X550.L1S346.s.1.sequence,122,,,,,,,,
X550.L1S347.s.1.sequence,184,,,,,,,,
X550.L1S348.s.1.sequence,135,,,,,,,,
X550.L1S349.s.1.sequence,122,,,,,,,,
X550.L1S35.s.1.sequence,88,,,,,,,,
X550.L1S350.s.1.sequence,135,,,,,,,,
X550.L1S351.s.1.sequence,114,,,,,,,,
X550.L1S352.s.1.sequence,114,,,,,,,,
X550.L1S353.s.1.sequence,156,,,,,,,,
X550.L1S354.s.1.sequence,115,,,,,,,,
X550.L1S355.s.1.sequence,163,,,,,,,,
X550.L1S356.s.1.sequence,125,,,,,,,,
X550.L1S357.s.1.sequence,110,,,,,,,,
X550.L1S358.s.1.sequence,112,,,,,,,,
X550.L1S359.s.1.sequence,100,,,,,,,,
X550.L1S36.s.1.sequence,75,,,,,,,,
X550.L1S360.s.1.sequence,99,,,,,,,,
X550.L1S361.s.1.sequence,117,,,,,,,,
X550.L1S362.s.1.sequence,102,,,,,,,,
X550.L1S363.s.1.sequence,130,,,,,,,,
X550.L1S364.s.1.sequence,127,,,,,,,,
X550.L1S365.s.1.sequence,161,,,,,,,,
X550.L1S366.s.1.sequence,135,,,,,,,,
X550.L1S367.s.1.sequence,130,,,,,,,,
X550.L1S368.s.1.sequence,149,,,,,,,,
X550.L1S369.s.1.sequence,181,,,,,,,,
X550.L1S37.s.1.sequence,90,,,,,,,,
X550.L1S370.s.1.sequence,158,,,,,,,,
X550.L1S371.s.1.sequence,115,,,,,,,,
X550.L1S372.s.1.sequence,121,,,,,,,,
X550.L1S374.s.1.sequence,123,,,,,,,,
X550.L1S375.s.1.sequence,121,,,,,,,,
X550.L1S376.s.1.sequence,144,,,,,,,,
X550.L1S378.s.1.sequence,174,,,,,,,,
X550.L1S379.s.1.sequence,153,,,,,,,,
X550.L1S38.s.1.sequence,91,,,,,,,,
X550.L1S380.s.1.sequence,138,,,,,,,,
X550.L1S381.s.1.sequence,119,,,,,,,,
X550.L1S382.s.1.sequence,128,,,,,,,,
X550.L1S383.s.1.sequence,139,,,,,,,,
X550.L1S39.s.1.sequence,89,,,,,,,,
X550.L1S4.s.1.sequence,59,,,,,,,,
X550.L1S40.s.1.sequence,83,,,,,,,,
X550.L1S41.s.1.sequence,89,,,,,,,,
X550.L1S42.s.1.sequence,95,,,,,,,,
X550.L1S43.s.1.sequence,86,,,,,,,,
X550.L1S44.s.1.sequence,96,,,,,,,,
X550.L1S45.s.1.sequence,92,,,,,,,,
X550.L1S46.s.1.sequence,117,,,,,,,,
X550.L1S47.s.1.sequence,104,,,,,,,,
X550.L1S48.s.1.sequence,90,,,,,,,,
X550.L1S49.s.1.sequence,109,,,,,,,,
X550.L1S5.s.1.sequence,60,,,,,,,,
X550.L1S50.s.1.sequence,94,,,,,,,,
X550.L1S51.s.1.sequence,99,,,,,,,,
X550.L1S52.s.1.sequence,84,,,,,,,,
X550.L1S53.s.1.sequence,92,,,,,,,,
X550.L1S54.s.1.sequence,85,,,,,,,,
X550.L1S55.s.1.sequence,89,,,,,,,,
X550.L1S56.s.1.sequence,90,,,,,,,,
X550.L1S57.s.1.sequence,83,,,,,,,,
X550.L1S58.s.1.sequence,89,,,,,,,,
X550.L1S59.s.1.sequence,103,,,,,,,,
X550.L1S6.s.1.sequence,53,,,,,,,,
X550.L1S60.s.1.sequence,101,,,,,,,,
X550.L1S61.s.1.sequence,95,,,,,,,,
X550.L1S62.s.1.sequence,86,,,,,,,,
X550.L1S63.s.1.sequence,86,,,,,,,,
X550.L1S64.s.1.sequence,87,,,,,,,,
X550.L1S65.s.1.sequence,88,,,,,,,,
X550.L1S66.s.1.sequence,80,,,,,,,,
X550.L1S67.s.1.sequence,99,,,,,,,,
X550.L1S68.s.1.sequence,88,,,,,,,,
X550.L1S69.s.1.sequence,72,,,,,,,,
X550.L1S7.s.1.sequence,59,,,,,,,,
X550.L1S70.s.1.sequence,70,,,,,,,,
X550.L1S71.s.1.sequence,74,,,,,,,,
X550.L1S72.s.1.sequence,81,,,,,,,,
X550.L1S73.s.1.sequence,78,,,,,,,,
X550.L1S74.s.1.sequence,77,,,,,,,,
X550.L1S75.s.1.sequence,85,,,,,,,,
X550.L1S76.s.1.sequence,78,,,,,,,,
X550.L1S77.s.1.sequence,87,,,,,,,,
X550.L1S78.s.1.sequence,84,,,,,,,,
X550.L1S79.s.1.sequence,110,,,,,,,,
X550.L1S8.s.1.sequence,66,,,,,,,,
X550.L1S80.s.1.sequence,100,,,,,,,,
X550.L1S81.s.1.sequence,75,,,,,,,,
X550.L1S82.s.1.sequence,108,,,,,,,,
X550.L1S83.s.1.sequence,84,,,,,,,,
X550.L1S84.s.1.sequence,94,,,,,,,,
X550.L1S85.s.1.sequence,99,,,,,,,,
X550.L1S86.s.1.sequence,88,,,,,,,,
X550.L1S87.s.1.sequence,77,,,,,,,,
X550.L1S88.s.1.sequence,86,,,,,,,,
X550.L1S89.s.1.sequence,98,,,,,,,,
X550.L1S9.s.1.sequence,63,,,,,,,,
X550.L1S90.s.1.sequence,102,,,,,,,,
X550.L1S91.s.1.sequence,87,,,,,,,,
X550.L1S92.s.1.sequence,109,,,,,,,,
X550.L1S93.s.1.sequence,85,,,,,,,,
X550.L1S94.s.1.sequence,95,,,,,,,,
X550.L1S95.s.1.sequence,87,,,,,,,,
X550.L1S97.s.1.sequence,117,,,,,,,,
X550.L1S98.s.1.sequence,91,,,,,,,,
X550.L1S99.s.1.sequence,81,,,,,,,,
X550.L2S1.s.2.sequence,127,,,,,,,,
X550.L2S10.s.2.sequence,167,,,,,,,,
X550.L2S100.s.2.sequence,303,,,,,,,,
X550.L2S101.s.2.sequence,487,,,,,,,,
X550.L2S102.s.2.sequence,483,,,,,,,,
X550.L2S103.s.2.sequence,627,,,,,,,,
X550.L2S104.s.2.sequence,63,,,,,,,,
X550.L2S105.s.2.sequence,442,,,,,,,,
X550.L2S106.s.2.sequence,278,,,,,,,,
X550.L2S107.s.2.sequence,527,,,,,,,,
X550.L2S108.s.2.sequence,562,,,,,,,,
X550.L2S109.s.2.sequence,261,,,,,,,,
X550.L2S11.s.2.sequence,129,,,,,,,,
X550.L2S110.s.2.sequence,438,,,,,,,,
X550.L2S111.s.2.sequence,463,,,,,,,,
X550.L2S112.s.2.sequence,352,,,,,,,,
X550.L2S113.s.2.sequence,364,,,,,,,,
X550.L2S114.s.2.sequence,234,,,,,,,,
X550.L2S115.s.2.sequence,528,,,,,,,,
X550.L2S116.s.2.sequence,337,,,,,,,,
X550.L2S117.s.2.sequence,374,,,,,,,,
X550.L2S118.s.2.sequence,389,,,,,,,,
X550.L2S119.s.2.sequence,311,,,,,,,,
X550.L2S12.s.2.sequence,118,,,,,,,,
X550.L2S120.s.2.sequence,321,,,,,,,,
X550.L2S121.s.2.sequence,395,,,,,,,,
X550.L2S122.s.2.sequence,440,,,,,,,,
X550.L2S123.s.2.sequence,427,,,,,,,,
X550.L2S124.s.2.sequence,478,,,,,,,,
X550.L2S125.s.2.sequence,454,,,,,,,,
X550.L2S126.s.2.sequence,373,,,,,,,,
X550.L2S127.s.2.sequence,370,,,,,,,,
X550.L2S128.s.2.sequence,338,,,,,,,,
X550.L2S129.s.2.sequence,453,,,,,,,,
X550.L2S13.s.2.sequence,133,,,,,,,,
X550.L2S130.s.2.sequence,347,,,,,,,,
X550.L2S131.s.2.sequence,330,,,,,,,,
X550.L2S132.s.2.sequence,278,,,,,,,,
X550.L2S133.s.2.sequence,280,,,,,,,,
X550.L2S134.s.2.sequence,490,,,,,,,,
X550.L2S135.s.2.sequence,417,,,,,,,,
X550.L2S136.s.2.sequence,433,,,,,,,,
X550.L2S137.s.2.sequence,503,,,,,,,,
X550.L2S138.s.2.sequence,315,,,,,,,,
X550.L2S139.s.2.sequence,451,,,,,,,,
X550.L2S14.s.2.sequence,117,,,,,,,,
X550.L2S140.s.2.sequence,464,,,,,,,,
X550.L2S141.s.2.sequence,346,,,,,,,,
X550.L2S142.s.2.sequence,385,,,,,,,,
X550.L2S143.s.2.sequence,586,,,,,,,,
X550.L2S144.s.2.sequence,396,,,,,,,,
X550.L2S145.s.2.sequence,333,,,,,,,,
X550.L2S146.s.2.sequence,413,,,,,,,,
X550.L2S147.s.2.sequence,421,,,,,,,,
X550.L2S148.s.2.sequence,332,,,,,,,,
X550.L2S149.s.2.sequence,272,,,,,,,,
X550.L2S15.s.2.sequence,127,,,,,,,,
X550.L2S150.s.2.sequence,523,,,,,,,,
X550.L2S151.s.2.sequence,443,,,,,,,,
X550.L2S152.s.2.sequence,447,,,,,,,,
X550.L2S153.s.2.sequence,473,,,,,,,,
X550.L2S154.s.2.sequence,391,,,,,,,,
X550.L2S155.s.2.sequence,316,,,,,,,,
X550.L2S156.s.2.sequence,465,,,,,,,,
X550.L2S157.s.2.sequence,540,,,,,,,,
X550.L2S158.s.2.sequence,633,,,,,,,,
X550.L2S159.s.2.sequence,326,,,,,,,,
X550.L2S16.s.2.sequence,171,,,,,,,,
X550.L2S160.s.2.sequence,279,,,,,,,,
X550.L2S161.s.2.sequence,382,,,,,,,,
X550.L2S162.s.2.sequence,362,,,,,,,,
X550.L2S163.s.2.sequence,477,,,,,,,,
X550.L2S164.s.2.sequence,386,,,,,,,,
X550.L2S165.s.2.sequence,731,,,,,,,,
X550.L2S166.s.2.sequence,494,,,,,,,,
X550.L2S167.s.2.sequence,392,,,,,,,,
X550.L2S168.s.2.sequence,620,,,,,,,,
X550.L2S169.s.2.sequence,300,,,,,,,,
X550.L2S17.s.2.sequence,166,,,,,,,,
X550.L2S170.s.2.sequence,545,,,,,,,,
X550.L2S171.s.2.sequence,517,,,,,,,,
X550.L2S172.s.2.sequence,564,,,,,,,,
X550.L2S173.s.2.sequence,492,,,,,,,,
X550.L2S174.s.2.sequence,322,,,,,,,,
X550.L2S175.s.2.sequence,283,,,,,,,,
X550.L2S176.s.2.sequence,609,,,,,,,,
X550.L2S178.s.2.sequence,445,,,,,,,,
X550.L2S179.s.2.sequence,363,,,,,,,,
X550.L2S18.s.2.sequence,118,,,,,,,,
X550.L2S180.s.2.sequence,596,,,,,,,,
X550.L2S181.s.2.sequence,325,,,,,,,,
X550.L2S182.s.2.sequence,561,,,,,,,,
X550.L2S183.s.2.sequence,420,,,,,,,,
X550.L2S184.s.2.sequence,521,,,,,,,,
X550.L2S185.s.2.sequence,564,,,,,,,,
X550.L2S186.s.2.sequence,514,,,,,,,,
X550.L2S187.s.2.sequence,496,,,,,,,,
X550.L2S188.s.2.sequence,529,,,,,,,,
X550.L2S189.s.2.sequence,551,,,,,,,,
X550.L2S19.s.2.sequence,146,,,,,,,,
X550.L2S190.s.2.sequence,475,,,,,,,,
X550.L2S191.s.2.sequence,227,,,,,,,,
X550.L2S193.s.2.sequence,429,,,,,,,,
X550.L2S194.s.2.sequence,469,,,,,,,,
X550.L2S195.s.2.sequence,504,,,,,,,,
X550.L2S196.s.2.sequence,461,,,,,,,,
X550.L2S197.s.2.sequence,549,,,,,,,,
X550.L2S198.s.2.sequence,438,,,,,,,,
X550.L2S199.s.2.sequence,479,,,,,,,,
X550.L2S2.s.2.sequence,187,,,,,,,,
X550.L2S20.s.2.sequence,154,,,,,,,,
X550.L2S200.s.2.sequence,399,,,,,,,,
X550.L2S201.s.2.sequence,549,,,,,,,,
X550.L2S202.s.2.sequence,491,,,,,,,,
X550.L2S203.s.2.sequence,435,,,,,,,,
X550.L2S204.s.2.sequence,341,,,,,,,,
X550.L2S205.s.2.sequence,388,,,,,,,,
X550.L2S206.s.2.sequence,368,,,,,,,,
X550.L2S207.s.2.sequence,776,,,,,,,,
X550.L2S208.s.2.sequence,620,,,,,,,,
X550.L2S209.s.2.sequence,710,,,,,,,,
X550.L2S21.s.2.sequence,132,,,,,,,,
X550.L2S210.s.2.sequence,638,,,,,,,,
X550.L2S211.s.2.sequence,502,,,,,,,,
X550.L2S212.s.2.sequence,454,,,,,,,,
X550.L2S213.s.2.sequence,243,,,,,,,,
X550.L2S214.s.2.sequence,553,,,,,,,,
X550.L2S215.s.2.sequence,482,,,,,,,,
X550.L2S216.s.2.sequence,716,,,,,,,,
X550.L2S217.s.2.sequence,555,,,,,,,,
X550.L2S218.s.2.sequence,352,,,,,,,,
X550.L2S219.s.2.sequence,345,,,,,,,,
X550.L2S22.s.2.sequence,103,,,,,,,,
X550.L2S220.s.2.sequence,606,,,,,,,,
X550.L2S221.s.2.sequence,393,,,,,,,,
X550.L2S222.s.2.sequence,530,,,,,,,,
X550.L2S223.s.2.sequence,450,,,,,,,,
X550.L2S224.s.2.sequence,566,,,,,,,,
X550.L2S225.s.2.sequence,536,,,,,,,,
X550.L2S226.s.2.sequence,523,,,,,,,,
X550.L2S227.s.2.sequence,579,,,,,,,,
X550.L2S228.s.2.sequence,426,,,,,,,,
X550.L2S229.s.2.sequence,535,,,,,,,,
X550.L2S23.s.2.sequence,121,,,,,,,,
X550.L2S230.s.2.sequence,531,,,,,,,,
X550.L2S231.s.2.sequence,344,,,,,,,,
X550.L2S232.s.2.sequence,453,,,,,,,,
X550.L2S233.s.2.sequence,143,,,,,,,,
X550.L2S234.s.2.sequence,249,,,,,,,,
X550.L2S235.s.2.sequence,210,,,,,,,,
X550.L2S236.s.2.sequence,270,,,,,,,,
X550.L2S237.s.2.sequence,131,,,,,,,,
X550.L2S238.s.2.sequence,144,,,,,,,,
X550.L2S239.s.2.sequence,102,,,,,,,,
X550.L2S24.s.2.sequence,114,,,,,,,,
X550.L2S240.s.2.sequence,66,,,,,,,,
X550.L2S241.s.2.sequence,140,,,,,,,,
