SampleID,temperature_deg_c,ph,salinity_psu,oxygen_mg_per_l,phosphate_umol_per_l,ammonium_umol_per_l,nitrate_umol_per_l,sulfate_umol_per_l,chao1,shannon,observed
1030.TVF.2004.Loc2.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2161.188841,8.433888296,1364
1030.TVF.2004.Loc2.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2843.636364,8.684706537,1585
1030.TVF.2004.Loc3.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,3090.010381,8.951006797,1782
1030.TVF.2004.Loc3.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,3477.327103,9.407354685,1989
1030.TVF.2004.Loc3.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2147.025,8.202986282,1290
1030.TVF.2004.Loc3.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2986.141762,8.747640898,1668
1030.TVF.2004.Loc3.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,3037.632959,8.985907897,1721
1030.TVF.2004.Loc3.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2780.536885,8.868857204,1614
1030.TVF.2004.Loc3.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,2915.073171,8.970321593,1725
1030.TVF.2004.Loc3.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,1897.517647,7.919438239,1125
1030.TVF.2004.Loc3.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2154.221557,8.178076654,1227
1030.TVF.2004.Loc3.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2454.156398,8.432738399,1392
1030.TVF.2004.Loc4.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2074.789474,7.537144556,1166
1030.TVF.2004.Loc4.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,2769.028689,8.329088075,1543
1030.TVF.2004.Loc4.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2019.29717,7.821489505,1230
1030.TVF.2004.Loc4.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2035.346154,7.496033001,1099
1030.TVF.2004.Loc4.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,3369.88961,9.324207058,1937
1030.TVF.2004.Loc4.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,1856.005495,7.846782249,1154
1030.TVF.2004.Loc4.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1958.5,8.087137241,1196
1030.TVF.2004.Loc4.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,3339.527397,9.157508646,1876
1030.TVF.2004.Loc4.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2522.25463,8.594885889,1444
1030.TVF.2004.Loc4.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2069.672986,8.265501736,1293
1030.TVF.2004.Loc5.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,3658.634615,9.306012089,2019
1030.TVF.2004.Loc5.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,2294.501992,8.688736343,1490
1030.TVF.2004.Loc5.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,3126.222222,9.034620691,1824
1030.TVF.2004.Loc5.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2559.397638,8.307151334,1546
1030.TVF.2004.Loc5.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,3024.601449,8.962483368,1760
1030.TVF.2004.Loc5.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2083.351351,7.466609463,1160
1030.TVF.2004.Loc5.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1643.114865,6.949499141,936
1030.TVF.2004.Loc5.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2286.405556,7.588829416,1210
1030.TVF.2004.Loc5.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2760.24878,8.220846921,1448
1030.TVF.2004.Loc5.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,1838.407643,7.352153457,1047
1030.TVF.2010.Loc1.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,1480.523077,7.433043062,903
1030.TVF.2010.Loc1.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1766.076923,7.776812848,1083
1030.TVF.2010.Loc1.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,1830,7.979579218,1089
1030.TVF.2010.Loc1.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,1685.122137,6.855473507,931
1030.TVF.2010.Loc1.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2459.118182,8.456986784,1419
1030.TVF.2010.Loc1.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2739.112903,8.991294343,1721
1030.TVF.2010.Loc1.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1715.684211,8.012806305,1054
1030.TVF.2010.Loc1.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2565.512712,8.788739218,1511
1030.TVF.2010.Loc1.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2795.124,8.708116364,1583
1030.TVF.2010.Loc1.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2473.854545,8.585935809,1446
1030.TVF.2010.Loc2.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,1540.413534,7.557760049,910
1030.TVF.2010.Loc2.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1242.03,6.947753111,722
1030.TVF.2010.Loc2.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,1559.827869,7.331426365,909
1030.TVF.2010.Loc2.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,1272.857143,7.508685001,849
1030.TVF.2010.Loc2.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,1611.541667,7.689090261,953
1030.TVF.2010.Loc2.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,1541.887931,7.108664088,898
1030.TVF.2010.Loc2.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1375.042553,7.173302143,883
1030.TVF.2010.Loc2.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,1663.875,7.312884473,1030
1030.TVF.2010.Loc2.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,1764.780303,7.713788656,1013
1030.TVF.2010.Loc2.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,1583.010526,7.30870106,817
1030.TVF.2010.Loc3.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2298.539604,8.372582013,1327
1030.TVF.2010.Loc3.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1973.279503,8.086569209,1148
1030.TVF.2010.Loc3.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2331.020619,7.939008719,1277
1030.TVF.2010.Loc3.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2388.721239,8.626766825,1441
1030.TVF.2010.Loc3.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2778.572614,8.73246531,1566
1030.TVF.2010.Loc3.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2330.359684,8.713134438,1476
1030.TVF.2010.Loc3.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,2485.044053,8.48426556,1450
1030.TVF.2010.Loc3.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2529.066176,8.839558704,1588
1030.TVF.2010.Loc3.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,3001.327586,9.217418848,1815
1030.TVF.2010.Loc3.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2790.429003,9.009233232,1771
1030.TVF.2010.Loc4.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2634.81106,8.411468649,1442
1030.TVF.2010.Loc4.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,2078.035714,8.020421171,1239
1030.TVF.2010.Loc4.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2383.396135,8.388171943,1355
1030.TVF.2010.Loc4.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2790.074689,8.825776894,1587
1030.TVF.2010.Loc4.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2140.051282,8.091017513,1249
1030.TVF.2010.Loc4.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2668,8.830982349,1576
1030.TVF.2010.Loc4.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1858.907407,7.800602215,1095
1030.TVF.2010.Loc4.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2265.097222,8.616402295,1391
1030.TVF.2010.Loc4.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2152.401826,8.502317512,1359
1030.TVF.2010.Loc4.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2473.480583,8.513554841,1421
1030.TVF.2010.Loc5.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2108,7.917873233,1160
1030.TVF.2010.Loc5.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1342.446602,7.254655841,773
1030.TVF.2010.Loc5.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2738.913043,8.769904162,1485
1030.TVF.2010.Loc5.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2438.671296,8.479972183,1398
1030.TVF.2010.Loc5.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2723.5,8.670862919,1495
1030.TVF.2010.Loc5.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2407.760163,8.422825888,1461
1030.TVF.2010.Loc5.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,2001.673077,8.023475078,1140
1030.TVF.2010.Loc5.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,1561.666667,7.670951965,970
1030.TVF.2010.Loc5.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2594.281407,8.550515566,1441
1030.TVF.2010.Loc5.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2312.005291,8.344433096,1326
1030.TVF.Control.Loc1.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,972.6375,6.044364877,571
1030.TVF.Control.Loc1.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,1505.943396,6.349939409,794
1030.TVF.Control.Loc1.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,533.9183673,5.318107077,341
1030.TVF.Control.Loc1.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,1248.880952,5.767956587,753
1030.TVF.Control.Loc1.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1384.875,6.713991736,795
1030.TVF.Control.Loc1.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,1223.850467,6.188357459,701
1030.TVF.Control.Loc1.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,1458.478261,6.972051991,829
1030.TVF.Control.Loc1.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2066.076923,7.776966739,1203
1030.TVF.Control.Loc2.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,1627.8,7.036578948,907
1030.TVF.Control.Loc2.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,3134.690789,9.1016966,1874
1030.TVF.Control.Loc2.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2905.111111,8.967771431,1819
1030.TVF.Control.Loc2.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,1842.086207,7.810932679,1128
1030.TVF.Control.Loc2.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2635.84375,8.221919746,1387
1030.TVF.Control.Loc2.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,1434.52381,6.954915073,860
1030.TVF.Control.Loc2.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1484.857143,6.908279908,889
1030.TVF.Control.Loc2.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,1749.900662,7.188666541,1020
1030.TVF.Control.Loc2.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,1694.042683,6.879780537,1022
1030.TVF.Control.Loc2.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,1939.521739,7.840108613,1127
1030.TVF.Control.Loc3.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2323.862069,7.984237037,1395
1030.TVF.Control.Loc3.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,2432.162896,8.042558695,1412
1030.TVF.Control.Loc3.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2391.39645,7.42137434,1219
1030.TVF.Control.Loc3.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2316.514019,7.840672998,1346
1030.TVF.Control.Loc3.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,1851.481203,6.690302215,969
1030.TVF.Control.Loc3.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2097.347518,6.970224531,1046
1030.TVF.Control.Loc3.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,2731.524,8.793689236,1617
1030.TVF.Control.Loc3.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,1890.440299,6.848254223,952
1030.TVF.Control.Loc3.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,984.3789474,5.844822304,582
1030.TVF.Control.Loc3.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,1246.057377,6.618028599,754
1030.TVF.Control.Loc4.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2909.554745,8.62669366,1693
1030.TVF.Control.Loc4.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,3188.432526,8.585577476,1773
1030.TVF.Control.Loc4.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2712.45977,8.333144445,1584
1030.TVF.Control.Loc4.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2409.886256,7.515848082,1335
1030.TVF.Control.Loc4.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,3360.676282,8.95034048,1925
1030.TVF.Control.Loc4.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,1335.991071,6.557303028,800
1030.TVF.Control.Loc4.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1488.19469,6.346995295,810
1030.TVF.Control.Loc4.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,1870.590361,7.59546039,1107
1030.TVF.Control.Loc4.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,1657.54918,6.795060212,898
1030.TVF.Control.Loc4.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,1299.952381,7.191866695,898
1030.TVF.Control.Loc5.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2075.866667,7.463518864,1120
1030.TVF.Control.Loc5.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1682.25,6.787261856,892
1030.TVF.Control.Loc5.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,1220.307692,6.166911242,745
1030.TVF.Control.Loc5.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2458.877193,8.017528214,1278
1030.TVF.Control.Loc5.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2402.7,8.176384798,1418
1030.TVF.Control.Loc5.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2792.964286,8.142020968,1529
1030.TVF.Control.Loc5.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1466.336634,6.909172421,805
1030.TVF.Control.Loc5.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,1625.175182,7.230344731,917
1030.TVF.Control.Loc5.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,1803.09434,7.645987596,1071
1030.TVF.Control.Loc5.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,1058.804878,5.63377639,596
1031.CHDF1,NA,4.1,NA,NA,NA,NA,NA,NA,2691.012146,8.872681543,1587
1031.CHDF2,NA,4.1,NA,NA,NA,NA,NA,NA,2610.542017,8.842098142,1553
1031.CHDF3,NA,4.1,NA,NA,NA,NA,NA,NA,2138.091463,8.481136009,1254
1031.CHRA2,NA,3.6,NA,NA,NA,NA,NA,NA,2521.547945,8.858935117,1489
1031.CHRA3,NA,3.6,NA,NA,NA,NA,NA,NA,2227.132743,8.833250294,1432
1031.HJDF.1,NA,5,NA,NA,NA,NA,NA,NA,2960.010753,8.656911279,1697
1031.HJDF2,NA,5,NA,NA,NA,NA,NA,NA,3472.976109,9.110329653,1869
1031.HJDF3,NA,5,NA,NA,NA,NA,NA,NA,3164.436364,8.924847868,1742
1031.HJRA.1,NA,5.1,NA,NA,NA,NA,NA,NA,3853.800643,9.282853913,2032
1031.HJRA2,NA,5.1,NA,NA,NA,NA,NA,NA,3419.739264,9.338520721,1990
1031.HJRA3,NA,5.1,NA,NA,NA,NA,NA,NA,2915.142857,9.193617658,1805
1033.Antarctic.soil.10A.2.1,NA,NA,NA,NA,NA,NA,NA,NA,2333.005291,8.170358588,1288
1033.Antarctic.soil.3B.7.2,NA,NA,NA,NA,NA,NA,NA,NA,1252.908046,5.915961512,644
1033.Antarctic.soil.4C.6.4,NA,NA,NA,NA,NA,NA,NA,NA,1258.261905,6.207486817,662
1033.Antarctic.soil.5C.1.7,NA,NA,NA,NA,NA,NA,NA,NA,1870.826087,7.12475475,992
1033.Antarctic.soil.9A.2.0,NA,NA,NA,NA,NA,NA,NA,NA,593.5263158,5.555225239,224
1034.CHA1,NA,6.33,NA,NA,NA,NA,NA,NA,1844.245902,8.293650383,1168
1034.CHA10,NA,7.44,NA,NA,NA,NA,NA,NA,2746.415162,8.841076214,1627
1034.CHA11,NA,5.59,NA,NA,NA,NA,NA,NA,3346.910891,9.105910899,1912
1034.CHA12,NA,5.52,NA,NA,NA,NA,NA,NA,4050.507853,9.723978724,2324
1034.CHA2,NA,5.49,NA,NA,NA,NA,NA,NA,2084.05291,8.377625425,1247
1034.CHA3,NA,5.21,NA,NA,NA,NA,NA,NA,1980.154639,8.381915603,1230
1034.CHB1,NA,6.6,NA,NA,NA,NA,NA,NA,455.0697674,3.119167681,254
1034.CHB10,NA,5.05,NA,NA,NA,NA,NA,NA,500.2857143,5.485760391,255
1034.CHB2,NA,6.42,NA,NA,NA,NA,NA,NA,2316.597345,8.713564695,1473
1034.CHB3,NA,5.22,NA,NA,NA,NA,NA,NA,389.5625,3.047448794,209
1034.CHB4,NA,6.62,NA,NA,NA,NA,NA,NA,2584.392857,8.786364165,1410
1034.CHB5,NA,6.07,NA,NA,NA,NA,NA,NA,3115.693878,9.334516679,1871
1034.CHB6,NA,5.82,NA,NA,NA,NA,NA,NA,3101.60479,9.524170697,1962
1034.CHB7,NA,5.28,NA,NA,NA,NA,NA,NA,1281.366864,6.846586419,899
1034.CHB8,NA,7.89,NA,NA,NA,NA,NA,NA,1554.738806,6.351668825,876
1034.CHB9,NA,7.7,NA,NA,NA,NA,NA,NA,1791.299065,7.820275141,1168
1034.CHC1,NA,5.74,NA,NA,NA,NA,NA,NA,491.75,5.642945286,368
1034.CHC10,NA,7.88,NA,NA,NA,NA,NA,NA,1031.976744,7.476160642,583
1034.CHC11,NA,5.98,NA,NA,NA,NA,NA,NA,1276.452381,7.998232472,953
1034.CHC12,NA,5.88,NA,NA,NA,NA,NA,NA,2705.888502,9.044653028,1722
1034.CHC13,NA,5.79,NA,NA,NA,NA,NA,NA,4161.408,9.548359703,2297
1034.CHC16,NA,5.03,NA,NA,NA,NA,NA,NA,3763.8,9.380080315,2145
1034.CHC17,NA,5.43,NA,NA,NA,NA,NA,NA,3054.143564,8.092994982,1523
1034.CHC2,NA,6.1,NA,NA,NA,NA,NA,NA,428.5,5.919533577,226
1034.CHC3,NA,5.89,NA,NA,NA,NA,NA,NA,2705.945946,8.786558217,1527
1034.CHC4,NA,NA,NA,NA,NA,NA,NA,NA,2666.293233,8.905480971,1616
